PersonnelID,Age,YearsOfService,Rank,Specialization,PerformanceRating,TrainingCoursesCompleted,MissionSuccessRate,MedicalFitnessScore,PeerReviewScore,CommandersAssessment,AttritionRisk,LeadershipPotential
IAF3001,45,23,Group Captain,Pilot,1,15,23.66,20,2.3,3.3,high,High
IAF3002,34,12,Squadron Leader,Pilot,4,8,91.5,99,3.8,4.3,high,High
IAF3003,33,11,Squadron Leader,Admin,3,7,88.1,92,3.5,3.6,high,Medium
IAF3004,25,3,Flying Officer,Ground Staff,2,2,81.3,95,3.1,3,High,Low
IAF3005,38,16,Wing Commander,Pilot,5,11,99,89,4.8,4.9,Low,High
IAF3006,31,9,Flight Lieutenant,Pilot,4,6,94.5,97,4.3,4.5,Low,High
IAF3007,26,4,Flying Officer,pilot,3,3,85.2,100,3.6,3.4,Low,Medium
IAF3008,41,19,Wing Commander,pilot,2,10,79.8,91,2.9,2.8,Low,high
IAF3009,36,14,Squadron Leader,Pilot,5,9,97.5,96,4.6,4.8,Low,High
IAF3010,29,7,Flight Lieutenant,Medical,4,6,92.8,98,4.1,4.2,Low,High
IAF3011,43,21,Group Captain,Pilot,3,13,89.5,90,3.8,3.9,Low,Medium
IAF3012,24,2,Flying Officer,pilot,2,1,78.9,97,2.8,2.7,High,high
IAF3013,35,13,Squadron Leader,Pilot,5,8,98.6,93,4.7,4.9,Low,High
IAF3014,30,8,Flight Lieutenant,Ground Staff,4,5,93.2,95,4.2,4.4,Low,High
IAF3015,40,18,Wing Commander,Pilot,5,12,96.5,88,4.5,4.7,Low,High
IAF3016,27,5,Flying Officer,Pilot,3,3,86.8,99,3.7,3.5,Medium,Medium
IAF3017,34,12,Squadron Leader,pilot,2,6,82.4,94,3,3.1,High,high
IAF3018,46,24,Group Captain,Pilot,4,16,95.1,86,4.4,4.6,Medium,High
IAF3019,23,1,Flying Officer,Ground Staff,3,1,88,100,3.4,3.3,Medium,Medium
IAF3020,39,17,Wing Commander,Medical,5,11,99.3,92,4.9,5,Low,High
IAF3021,32,10,Squadron Leader,Pilot,2,7,80.1,96,3.1,2.9,Medium,Low
IAF3022,28,6,Flight Lieutenant,pilot,4,5,94,98,4.3,4.5,Low,High
IAF3023,37,15,Wing Commander,Pilot,5,10,97.8,91,4.8,4.8,Medium,High
IAF3024,25,3,Flying Officer,Ground Staff,3,2,87.2,97,3.6,3.5,Medium,Medium
IAF3025,42,20,Group Captain,Medical,2,13,83.5,89,3.2,3.3,High,Low
IAF3026,36,14,Squadron Leader,Pilot,4,9,95.8,95,4.5,4.6,Low,High
IAF3027,29,7,Flight Lieutenant,Pilot,5,6,98.1,99,4.7,4.9,Low,High
IAF3028,44,22,Wing Commander,Admin,3,14,90.2,87,3.9,4,Low,Medium
IAF3029,26,4,Flying Officer,Ground Staff,2,2,79.5,96,2.9,2.8,High,Low
IAF3030,35,13,Squadron Leader,Medical,4,8,93.9,93,4.3,4.4,Low,High
IAF3031,41,19,Wing Commander,Pilot,5,12,99.2,92,4.9,5,Low,High
IAF3032,27,5,Flight Lieutenant,Data Analyst,3,4,88.8,98,3.8,3.7,Medium,Medium
IAF3033,38,16,Squadron Leader,Pilot,2,9,81.7,90,3,3.1,High,Low
IAF3034,24,2,Flying Officer,Ground Staff,4,2,92.1,100,4.1,4,Low,High
IAF3035,33,11,Squadron Leader,Pilot,5,7,97.3,94,4.6,4.8,Low,High
IAF3036,40,18,Wing Commander,Pilot,3,11,87.6,89,3.7,3.6,Medium,Medium
IAF3037,31,9,Flight Lieutenant,Engineer,2,5,83.1,97,3.2,3,High,Low
IAF3038,45,23,Group Captain,Admin,5,15,98,85,4.8,4.9,Low,High
IAF3039,23,1,Flying Officer,Ground Staff,3,1,86.5,99,3.5,3.4,Medium,Medium
IAF3040,39,17,Wing Commander,Medical,4,10,94.9,91,4.4,4.5,Low,High
IAF3041,32,10,Squadron Leader,Pilot,5,7,99.1,96,4.9,4.9,Low,High
IAF3042,28,6,Flight Lieutenant,Engineer,3,4,89.2,98,3.9,3.8,Medium,Medium
IAF3043,37,15,Wing Commander,Admin,2,11,82.8,92,3.1,3.2,High,Low
IAF3044,25,3,Flying Officer,Ground Staff,4,3,91.8,97,4,4.1,Low,High
IAF3045,42,20,Group Captain,Pilot,5,14,97.9,88,4.7,4.8,Low,High
IAF3046,36,14,Squadron Leader,Pilot,3,8,90.5,95,4,3.9,Low,Medium
IAF3047,29,7,Flight Lieutenant,Engineer,2,4,84,99,3.3,3.1,High,Low
IAF3048,44,22,Wing Commander,Pilot,5,13,98.4,87,4.8,4.9,Low,High
IAF3049,26,4,Flying Officer,Ground Staff,3,2,85.8,96,3.5,3.3,Medium,Medium
IAF3050,35,13,Squadron Leader,Medical,4,8,96.3,93,4.5,4.6,Low,High
IAF3051,41,19,Wing Commander,Pilot,2,11,81.1,91,3,2.9,High,Low
IAF3052,27,5,Flight Lieutenant,Engineer,5,4,97.2,98,4.6,4.7,Low,High
IAF3053,38,16,Squadron Leader,Admin,4,10,93.6,90,4.3,4.4,Low,High
IAF3054,24,2,Flying Officer,Ground Staff,3,2,88.2,100,3.7,3.6,Medium,Medium
IAF3055,33,11,Squadron Leader,Pilot,2,7,82.9,94,3.2,3,High,high
IAF3056,40,18,Wing Commander,Pilot,5,12,99.5,89,5,5,Low,High
IAF3057,31,9,Flight Lieutenant,Engineer,4,6,95.2,97,4.4,4.5,Low,High
IAF3058,45,23,Group Captain,Admin,3,15,89.9,85,3.9,3.8,Medium,Medium
IAF3059,23,1,Flying Officer,Pilot,2,1,80.4,99,2.9,2.8,High,Low
IAF3060,39,17,Wing Commander,Medical,5,11,98.8,91,4.8,4.9,Low,High
IAF3061,32,10,Squadron Leader,Pilot,4,7,94.3,96,4.3,4.4,Low,High
IAF3062,28,6,Flight Lieutenant,Engineer,3,5,87.8,98,3.7,3.6,Medium,Medium
IAF3063,37,15,Wing Commander,Admin,5,11,97.1,92,4.6,4.7,Low,High
IAF3064,25,3,Flying Officer,Ground Staff,2,2,83.3,97,3.1,3.2,High,Low
IAF3065,42,20,Group Captain,Pilot,4,14,95.5,88,4.5,4.5,Low,High
